title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
MIOPS MOBILE: The World's Most Versatile Camera Remote," Leave the control of your camera to your smartphone with dozens of creative modes.  Timelapse, Motion, Sound, Vibration, HDR and more. ",other_loc,usd,Camera Equipment,1.96655423152,1.16631523594,0.583987524646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fangamer Retrowear," Many of our classic, video-game-inspired designs have been out of stock for a while. It's time to bring them back. ",other_loc,usd,Fashion,0.808801370193,-0.797384908415,0.579624392476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabletopia - The digital platform for board games, More than 100 games from the beginning on this most sophisticated virtual table. Play with friends or find worthy opponents online ,other_loc,usd,Tabletop Games,-0.117633695197,-0.797384908415,0.579624392476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Benign Kingdom Fall 2012," A new series of art books by online comic artists Emmy Cicierega, Anthony Clark, Danielle Corsetto, and Aaron Diaz. ",other_loc,usd,Comics,-0.0160518721944,-1.12466826581,0.575261260306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thrilling Adventure Hour: The Graphic Novel... And Beyond!," The star-studded stage show and Nerdist podcast sets its sights on a graphic novel, a scripted web series, and a live concert film! ","Los Angeles, CA",usd,Comics,0.753833744142,1.49359859333,0.563626241186,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HDMIPi Affordable 9"" High-Def screen for the Raspberry Pi"," Small HDMI screens are  expensive. Native HD ones are astronomical. We want to drive the price down ""Raspberry Pi"" style. ",other_loc,gbp,Hardware,1.76121014899,1.49359859333,0.547628089896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flash Point: Fire Rescue - Extreme Danger, Thank you for making Flash Point: Fire Rescue even bigger and better -  the Extreme Danger & Dangerous Water expansions are being made! ,"San Francisco, CA",usd,Tabletop Games,0.530574723724,-0.142818193631,0.537447448167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HATOFUL BOYFRIEND OFFICIAL PLUSH PROJECT!, HATO MOA x ERICK SCARECROW present limited edition plush based on the best selling video game title. ,"Las Vegas, NV",usd,Product Design,0.0487571835543,-0.470101551023,0.534538693387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mBot: $49 educational robot for each kid," ONE ROBOT PER KID. mBot is the easiest educational robot for kids to learn programming, Arduino and robotics. ",other_loc,usd,other_categ,2.11793251017,-0.797384908415,0.531629938607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ra: World's First Strap Light!," SUPER-BRIGHT, FLEXIBLE light that attaches virtually anywhere. Keep high adventure alive after dark. SEE and BE SEEN! ","Salt Lake City, UT",usd,Product Design,2.41092130119,-1.12466826581,0.517086164707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
