title,description,location,currency,category,amount_funded,project_goal,number_backers,"Atlanta, GA","Austin, TX","Boston, MA","Brooklyn, NY","Cambridge, MA","Chicago, IL","Dallas, TX","Las Vegas, NV","London, UK","Los Angeles, CA","Melbourne, AU","Montreal, Canada","Nashville, TN","New York, NY","Oakland, CA","Palo Alto, CA","Paris, France","Philadelphia, PA","Portland, OR","Provo, UT","Salt Lake City, UT","San Diego, CA","San Francisco, CA","San Jose, CA","Seattle, WA","St. Louis, MO","Tokyo, Japan","Toronto, Canada","Vancouver, Canada","Washington, DC",other_loc,aud,cad,chf,dkk,eur,gbp,nzd,sek,usd,3D Printing,Animation,Anthologies,Apparel,Art Books,Camera Equipment,Comics,DIY Electronics,Design,Documentary,Fashion,Film &amp; Video,Food,Gadgets,Games,Graphic Design,Hardware,Music,Narrative Film,Nonfiction,Playing Cards,Product Design,Software,Sound,Tabletop Games,Technology,Video Games,Wearables,Webcomics,Webseries,other_categ
Lunecase - Bring the back of your iPhone to life!," It  _  _s an intelligent case that receives notifications from the iPhone. Wireless, smart, elegant! ",other_loc,usd,Product Design,0.208002712899,1.16631523594,2.19107454057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
StarCrawlers, Lead a crew of freelance adventurers & navigate corporate intrigue on the fringes of space in a classic sci-fi dungeon crawl ,"San Diego, CA",usd,Video Games,-0.610338685287,2.14816530811,2.18962016318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Secret Loves of Geek Girls," An all-female comic/text anthology of true stories about love, romance, and sex! Featuring new cartoons by Margaret Atwood ","Toronto, Canada",cad,Anthologies,-0.286101881713,0.315378506717,2.1721676345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wicked Kingdom - Illustrated Playing Cards by Wylie Beckert, An art-rich poker deck with a narrative twist; hand-painted by fantasy illustrator Wylie Beckert and printed by the USPCC. ,"Seattle, WA",usd,Playing Cards,-0.106377928297,-0.928298251372,2.16780450233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Contagion - Co-op Zombie Survival Game, Contagion is a Cooperative Survival Horror FPS built on a heavily modified version of Valve's Source Engine and will release on Steam! ,other_loc,usd,Video Games,-0.800301850739,1.16631523594,2.16053261538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LOONCUP \u2013 The world's first SMART menstrual cup.," Take back control with the world's first SMART menstrual cup. Measure, Analyze, and Track. Help us redefine menstruation. ","San Francisco, CA",usd,Wearables,0.278483850135,1.16631523594,2.15907823799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Plan V - The failsafe charger you can't leave home without, Plan V has you covered when everything else has let you down. ,other_loc,aud,Gadgets,-0.454083889817,-0.142818193631,2.1576238606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fog of Love - romantic comedy as a board game, Romantic comedy with a twist. A 2-player game. Can you make the relationship work or do you break up? Strategic. Intuitive. Surprising. ,other_loc,usd,Tabletop Games,0.312369012268,-0.470101551023,2.15035197365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
UAMP - Soul Shaking Audio for Your Ears," Enrich your listening experience and overcome your music player  _  _s limitations with Uamp, a headphone amplifier in a portable package! ",other_loc,aud,Hardware,2.28787396461,-1.12466826581,2.14744321887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MagBak Case: World's thinnest car mount., MagBak is a minimalist protective case and mounting solution for your iPhone. Perfect to mount in the car and anywhere else! ,"Los Angeles, CA",usd,Product Design,0.953859329479,-1.12466826581,2.10526627456,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
